,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
4499,2,2,48.0,Фирдавси,25.01.2022 13:03,210000,"(38.5305762, 68.7763022)"
4500,2,3,50.0,Хитой Бозор,25.01.2022 12:53,230000,"(38.554049899999995, 68.78854784999999)"
4501,1,5,52.0,,25.01.2022 12:50,154000,"(nan, nan)"
4502,4,3,77.0,103 мкр,25.01.2022 12:46,734000,"(38.5425835, 68.81521423589763)"
4503,4,1,84.0,104 мкр,25.01.2022 12:38,540000,"(38.52171765, 68.74869761629216)"
4504,3,12,80.0,102 мкр,25.01.2022 12:28,619000,"(38.5215622, 68.74921245)"
4505,3,9,118.0,Шохмансур,25.01.2022 12:23,1634400,"(38.5507163, 68.8305472)"
4506,3,8,50.0,,25.01.2022 12:18,510000,"(nan, nan)"
4507,1,2,42.0,65 мкр,25.01.2022 12:17,270000,"(38.5823233, 68.74831405)"
4508,2,12,80.0,91 мкр,25.01.2022 12:16,735000,"(38.54670385, 68.74736905)"
4509,3,6,85.0,112 мкр,25.01.2022 12:10,917000,"(38.5208346, 68.74790775)"
4510,5,4,90.0,Филармония,25.01.2022 12:00,738000,"(38.5635832, 68.7537962)"
4511,4,18,161.0,Ориентир Душанбе ВодоКанал,25.01.2022 11:56,1110900,"(nan, nan)"
4512,2,16,80.0,Борбад,25.01.2022 11:50,415000,"(38.5311744, 68.751064)"
4513,3,10,142.0,Ориентир Новый Точиксодиротбанк,25.01.2022 11:47,971630,"(nan, nan)"
4514,6,13,150.0,Ориентир Новый Точиксодиротбанк,25.01.2022 11:39,948750,"(nan, nan)"
4515,4,4,95.0,Ориентир Напротив Налоговой Шохмансура,25.01.2022 11:38,764750,"(nan, nan)"
4516,4,2,90.0,,25.01.2022 11:35,1200000,"(nan, nan)"
4517,3,10,100.0,Дом печати,25.01.2022 11:34,899000,"(38.5706843, 68.7897228)"
4518,2,11,41.0,Зарафшон,25.01.2022 11:30,130000,"(38.5853222, 68.71890381645422)"
4519,3,7,95.0,Исмоили Сомони,25.01.2022 11:26,950000,"(38.5834656, 68.7891768)"
4520,2,18,85.0,Ориентир Напротив Хукумат района Шохмансур,25.01.2022 11:26,586500,"(nan, nan)"
4521,1,17,42.0,Сино,25.01.2022 11:20,105000,"(38.5615057, 68.739065)"
4522,5,14,146.0,Ориентир Олимпийский Комитет,25.01.2022 11:18,898260,"(nan, nan)"
4523,6,4,210.0,Ориентир бывший Голубой Экран,25.01.2022 11:16,1690500,"(nan, nan)"
4524,1,2,25.0,Фирдавси,25.01.2022 11:08,250000,"(38.5305762, 68.7763022)"
4525,2,1,200.0,Сино 2 кучаи Казокон 2,25.01.2022 11:01,260000,"(38.5615057, 68.739065)"
4526,3,4,90.0,И.Сомони,25.01.2022 11:00,650000,"(38.5871679, 68.7869964)"
4527,5,4,166.0,Ориентир Новый Точиксодиротбанк,25.01.2022 11:00,1307740,"(nan, nan)"
4528,1,5,42.0,Зарнисор,25.01.2022 11:00,230000,"(38.5077678, 68.7681578)"
4529,3,2,77.0,Сино,25.01.2022 10:57,680000,"(38.5615057, 68.739065)"
4530,3,4,67.0,Аэропорт,25.01.2022 10:41,565000,"(38.54557415, 68.82363701984585)"
4531,6,15,166.0,Ориентир Управление Противопожарной Службы,25.01.2022 10:37,1145000,"(nan, nan)"
4532,2,4,62.0,,25.01.2022 10:32,380000,"(nan, nan)"
4533,5,16,148.0,Ориентир Новый Точиксодиротбанк,25.01.2022 10:30,859510,"(nan, nan)"
4534,2,9,48.0,Зарафшон,25.01.2022 10:25,364800,"(38.5853222, 68.71890381645422)"
4535,3,16,143.0,92 мкр,25.01.2022 10:22,670000,"(38.52225355, 68.74991793788521)"
4536,6,11,178.0,Ориентир Олимпийский Комитет,25.01.2022 10:19,1187260,"(nan, nan)"
